"";"Annee";"Num_operation";"date_peche";"Code_station";"Code_espece_onema";"Code_INPN";"Effectif_peche"
"381";1987;10064;1987-09-15;"03041226";"LPP";66333;5
"382";1987;10064;1987-09-15;"03041226";"PER";69350;7
"383";1987;10064;1987-09-15;"03041226";"TAN";67478;1
"384";1987;10064;1987-09-15;"03041226";"TRF";67778;47
"385";1987;10064;1987-09-15;"03041226";"VAI";67404;31
"386";1987;10064;1987-09-15;"03041226";"VAN";67295;11
"387";1987;31903;1987-09-03;NA;"ABL";67111;4
"388";1987;31903;1987-09-03;NA;"ANG";66832;5
"389";1987;31903;1987-09-03;NA;"BAF";67143;2
"390";1987;31903;1987-09-03;NA;"BRE";67074;9
"391";1987;31903;1987-09-03;NA;"BRO";67606;1
"392";1987;31903;1987-09-03;NA;"CHE";67310;54
"393";1987;31903;1987-09-03;NA;"GAR";67422;23
"394";1987;31903;1987-09-03;NA;"GOU";67257;1
"395";1987;31903;1987-09-03;NA;"MUP";69790;3
"396";1987;31903;1987-09-03;NA;"OCL";853999;2
"397";1987;31903;1987-09-03;NA;"PCH";67571;1
"398";1987;31903;1987-09-03;NA;"PES";69338;11
"399";1987;31903;1987-09-03;NA;"ROT";67466;2
"400";1987;31903;1987-09-03;NA;"SAN";69372;1
"401";1987;31903;1987-09-03;NA;"VAI";67404;1
"402";1987;32277;1987-07-23;NA;"CHA";69182;1
"403";1987;32277;1987-07-23;NA;"SDF";67817;2
"404";1987;32277;1987-07-23;NA;"TAC";67804;15
"405";1987;32277;1987-07-23;NA;"TRF";67778;233
"406";1987;34602;1987-06-23;NA;"BAM";67179;4
"407";1987;34602;1987-06-23;NA;"TRF";67778;206
"408";1987;34602;1987-06-23;NA;"VAI";67404;3
"409";1987;35680;1987-05-20;NA;"TRF";67778;118
"410";1988;1036;1988-06-27;"01092000";"ANG";66832;80
"411";1988;1036;1988-06-27;"01092000";"CHA";69182;4
"412";1988;1036;1988-06-27;"01092000";"GAR";67422;11
"413";1988;1036;1988-06-27;"01092000";"GOU";67257;42
"414";1988;1036;1988-06-27;"01092000";"TRF";67778;35
"415";1988;1036;1988-06-27;"01092000";"VAI";67404;88
"416";1988;1149;1988-04-20;"03129730";"CHA";69182;814
"417";1988;1149;1988-04-20;"03129730";"GOU";67257;15
"418";1988;1149;1988-04-20;"03129730";"LOF";67550;164
"419";1988;1149;1988-04-20;"03129730";"LPP";66333;10
"420";1988;1149;1988-04-20;"03129730";"VAI";67404;1240
"421";1988;1149;1988-04-20;"03129730";"VAN";67295;4
"422";1988;1160;1988-04-28;"03112797";"ANG";66832;1
"423";1988;1160;1988-04-28;"03112797";"BRO";67606;1
"424";1988;1160;1988-04-28;"03112797";"CHA";69182;184
"425";1988;1160;1988-04-28;"03112797";"GAR";67422;10
"426";1988;1160;1988-04-28;"03112797";"LOF";67550;11
"427";1988;1160;1988-04-28;"03112797";"LPP";66333;2
"428";1988;1160;1988-04-28;"03112797";"PER";69350;7
"429";1988;1160;1988-04-28;"03112797";"TAC";67804;2
"430";1988;1160;1988-04-28;"03112797";"TAN";67478;3
"431";1988;1160;1988-04-28;"03112797";"TRF";67778;32
"432";1988;1160;1988-04-28;"03112797";"VAI";67404;29
"433";1988;1177;1988-05-25;"03144627";"ANG";66832;1
"434";1988;1177;1988-05-25;"03144627";"BRO";67606;1
"435";1988;1177;1988-05-25;"03144627";"GAR";67422;32
"436";1988;1177;1988-05-25;"03144627";"LOT";68336;5
"437";1988;1177;1988-05-25;"03144627";"PCH";67571;43
